match_time,home_team,away_team,home_goals,away_goals,category
2024-04-03T19:03:00+09:00,湘南ベルマーレ,東京ヴェルディ,1,2,J1
2024-04-03T19:03:00+09:00,ジュビロ磐田,アルビレックス新潟,2,0,J1
2024-04-03T19:03:00+09:00,アビスパ福岡,鹿島アントラーズ,1,0,J1
2024-04-03T19:03:00+09:00,横浜Ｆ・マリノス,川崎フロンターレ,0,0,J1
2024-04-03T19:03:00+09:00,レノファ山口ＦＣ,ロアッソ熊本,1,2,J2
2024-04-03T19:03:00+09:00,鹿児島ユナイテッドＦＣ,ヴァンフォーレ甲府,0,1,J2
2024-04-03T19:03:00+09:00,ザスパ群馬,大分トリニータ,0,2,J2
2024-04-03T19:03:00+09:00,清水エスパルス,徳島ヴォルティス,1,1,J2
2024-04-03T19:03:00+09:00,ジェフユナイテッド千葉,栃木,8,0,J2
2024-04-03T19:03:00+09:00,ブラウブリッツ秋田,水戸ホーリーホック,1,1,J2
2024-04-03T19:03:00+09:00,いわきＦＣ,藤枝ＭＹＦＣ,3,0,J2
2024-04-03T19:03:00+09:00,Ｖ・ファーレン長崎,モンテディオ山形,2,0,J2
2024-04-03T19:03:00+09:00,ベガルタ仙台,愛媛ＦＣ,1,2,J2
2024-04-03T19:04:00+09:00,サガン鳥栖,ヴィッセル神戸,0,0,J1
2024-04-03T19:04:00+09:00,ファジアーノ岡山,横浜ＦＣ,1,3,J2
2024-04-03T19:33:00+09:00,ＦＣ東京,浦和レッズ,2,1,J1
2024-04-03T19:33:00+09:00,北海道コンサドーレ札幌,名古屋グランパス,1,2,J1
2024-04-06T13:03:00+09:00,ＦＣ今治,ＡＣ長野パルセイロ,3,3,J3
2024-04-06T13:03:00+09:00,ガイナーレ鳥取,福島ユナイテッドＦＣ,1,0,J3
2024-04-06T14:03:00+09:00,北海道コンサドーレ札幌,ガンバ大阪,1,0,J1
2024-04-06T14:03:00+09:00,カターレ富山,ギラヴァンツ北九州,1,0,J3
2024-04-06T14:03:00+09:00,ＳＣ相模原,ＦＣ岐阜,1,1,J3
2024-04-06T14:03:00+09:00,ＲＢ大宮アルディージャ,ＦＣ大阪,1,0,J3
2024-04-06T14:03:00+09:00,ツエーゲン金沢,松本山雅ＦＣ,6,1,J3
2024-04-06T14:04:00+09:00,テゲバジャーロ宮崎,奈良クラブ,2,1,J3
2024-04-07T13:03:00+09:00,東京ヴェルディ,柏レイソル,1,1,J1
2024-04-07T13:03:00+09:00,ロアッソ熊本,Ｖ・ファーレン長崎,3,4,J2
2024-04-07T14:03:00+09:00,京都サンガF.C.,ジュビロ磐田,0,3,J1
2024-04-07T14:03:00+09:00,アルビレックス新潟,セレッソ大阪,0,1,J1
2024-04-07T14:03:00+09:00,サンフレッチェ広島,湘南ベルマーレ,2,0,J1
2024-04-07T14:03:00+09:00,ヴィッセル神戸,横浜Ｆ・マリノス,1,2,J1
2024-04-07T14:03:00+09:00,ヴァンフォーレ甲府,清水エスパルス,0,1,J2
2024-04-07T14:03:00+09:00,横浜ＦＣ,いわきＦＣ,2,2,J2
2024-04-07T14:03:00+09:00,大分トリニータ,ブラウブリッツ秋田,1,3,J2
2024-04-07T14:03:00+09:00,栃木,レノファ山口ＦＣ,0,0,J2
2024-04-07T14:03:00+09:00,藤枝ＭＹＦＣ,ベガルタ仙台,1,1,J2
2024-04-07T14:03:00+09:00,モンテディオ山形,鹿児島ユナイテッドＦＣ,2,0,J2
2024-04-07T14:03:00+09:00,ザスパ群馬,水戸ホーリーホック,0,0,J2
2024-04-07T14:03:00+09:00,カマタマーレ讃岐,YS横浜,0,2,J3
2024-04-07T14:03:00+09:00,ヴァンラーレ八戸,ＦＣ琉球,1,1,J3
2024-04-07T14:04:00+09:00,徳島ヴォルティス,ジェフユナイテッド千葉,0,1,J2
2024-04-07T15:03:00+09:00,浦和レッズ,サガン鳥栖,3,0,J1
2024-04-07T15:03:00+09:00,名古屋グランパス,アビスパ福岡,0,0,J1
